iter	Passed	Remaining
0	19	1961
1	25	1231
2	32	1050
3	70	1697
4	76	1459
5	82	1290
6	96	1282
7	100	1153
8	103	1048
9	107	971
10	111	902
11	115	845
12	118	794
13	122	751
14	125	713
15	133	700
16	136	665
17	139	633
18	141	604
19	145	581
20	148	558
21	151	536
22	161	541
23	165	523
24	169	508
25	172	492
26	177	480
27	180	465
28	192	470
29	195	455
30	197	440
31	200	427
32	205	416
33	207	402
34	210	390
35	212	378
36	216	368
37	221	361
38	223	350
39	226	339
40	230	331
41	231	320
42	235	312
43	239	305
44	248	304
45	253	298
46	259	292
47	263	285
48	268	279
49	273	273
50	279	268
51	282	261
52	285	253
53	288	245
54	290	237
55	314	246
56	317	239
57	319	231
58	322	224
59	325	216
60	327	209
61	334	205
62	338	198
63	340	191
64	344	185
65	349	180
66	352	173
67	358	168
68	365	164
69	369	158
70	372	152
71	375	146
72	380	140
73	385	135
74	388	129
75	393	124
76	396	118
77	399	112
78	402	106
79	406	101
80	410	96
81	412	90
82	414	84
83	418	79
84	422	74
85	425	69
86	428	64
87	431	58
88	433	53
89	436	48
90	439	43
91	443	38
92	451	34
93	455	29
94	459	24
95	462	19
96	465	14
97	501	10
98	512	5
99	542	0
